freq,tra_type,tra_oper,unit,geo,time,value
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2007,77921
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2008,78159
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2009,72675
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2010,76836
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2011,75543
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2012,70085
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2013,72081
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2014,72338
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2015,68900
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2016,67779
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2017,67533
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2018,68876
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2019,68923
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2020,67594
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2021,69559
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2022,65466
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2023,62600
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Netherlands,2024,62883
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2004,102807
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2005,111826
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2006,128315
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2007,150879
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2008,164930
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2009,180742
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2010,202308
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2011,207651
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2012,222332
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2013,247594
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2014,250931
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2015,260713
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2016,290749
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2017,335220
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2018,315874
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2019,348952
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2020,354927
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2021,379820
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2022,385089
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2023,377873
Annual,Total,Total - total transport,Million tonne-kilometre (TKM),Poland,2024,368314
